method,metrics,result
SpatialGlue_wrtpca,ari,0.2560265774807804
SpatialGlue_wrtpca,mi,0.7218814585366098
SpatialGlue_wrtpca,nmi,0.383416631403318
SpatialGlue_wrtpca,ami,0.37941437665033817
SpatialGlue_wrtpca,hom,0.3473062155713277
SpatialGlue_wrtpca,vme,0.383416631403318
SpatialGlue_wrtpca,average,0.411910315174282
SpatialGlue_wrtpca,moran,0.38224144638565377
SpatialGlue_wrtpca,ari,0.2298636374366067
SpatialGlue_wrtpca,mi,0.6794812681219151
SpatialGlue_wrtpca,nmi,0.35949058356441177
SpatialGlue_wrtpca,ami,0.3553613719462226
SpatialGlue_wrtpca,hom,0.32460725558697406
SpatialGlue_wrtpca,vme,0.35949058356441166
SpatialGlue_wrtpca,average,0.3847157833700903
SpatialGlue_wrtpca,moran,0.600259291583031
SpatialGlue_wrtpca,ari,0.2427156280317896
SpatialGlue_wrtpca,mi,0.7216326572923906
SpatialGlue_wrtpca,nmi,0.37465743272646657
SpatialGlue_wrtpca,ami,0.3706790048776165
SpatialGlue_wrtpca,hom,0.3332833618937958
SpatialGlue_wrtpca,vme,0.37465743272646657
SpatialGlue_wrtpca,average,0.40293758625808757
SpatialGlue_wrtpca,moran,0.498616303730741
SpatialGlue_wrtpca,ari,0.1989710978581614
SpatialGlue_wrtpca,mi,0.6770564973335479
SpatialGlue_wrtpca,nmi,0.35429702508176164
SpatialGlue_wrtpca,ami,0.3501604546277206
SpatialGlue_wrtpca,hom,0.31712736547698805
SpatialGlue_wrtpca,vme,0.35429702508176164
SpatialGlue_wrtpca,average,0.37531824424332355
SpatialGlue_wrtpca,moran,0.5707436464772913
SpatialGlue_wrtpca,ari,0.19749050013671351
SpatialGlue_wrtpca,mi,0.6948215117140182
SpatialGlue_wrtpca,nmi,0.3540342756885937
SpatialGlue_wrtpca,ami,0.3500030463333576
SpatialGlue_wrtpca,hom,0.3104430125537385
SpatialGlue_wrtpca,vme,0.35403427568859364
SpatialGlue_wrtpca,average,0.3768044370191692
SpatialGlue_wrtpca,moran,0.6082646113685132
SpatialGlue_wrtpca,ari,0.20109271203586648
SpatialGlue_wrtpca,mi,0.6951874702591658
SpatialGlue_wrtpca,nmi,0.35240963374499035
SpatialGlue_wrtpca,ami,0.348387898903754
SpatialGlue_wrtpca,hom,0.30783206769591176
SpatialGlue_wrtpca,vme,0.35240963374499035
SpatialGlue_wrtpca,average,0.3762199027307798
SpatialGlue_wrtpca,moran,0.3193211270388663
SpatialGlue_wrtpca,ari,0.19708971430605285
SpatialGlue_wrtpca,mi,0.6197833314096424
SpatialGlue_wrtpca,nmi,0.32415438624022075
SpatialGlue_wrtpca,ami,0.31983448675534215
SpatialGlue_wrtpca,hom,0.2900253768823119
SpatialGlue_wrtpca,vme,0.3241543862402208
SpatialGlue_wrtpca,average,0.3458402803056318
SpatialGlue_wrtpca,moran,0.4293672431355387
SpatialGlue_wrtpca,ari,0.19339398360537638
SpatialGlue_wrtpca,mi,0.6596341784748304
SpatialGlue_wrtpca,nmi,0.34710381930564327
SpatialGlue_wrtpca,ami,0.34289981677736103
SpatialGlue_wrtpca,hom,0.31206305074461477
SpatialGlue_wrtpca,vme,0.3471038193056432
SpatialGlue_wrtpca,average,0.36703311136891154
SpatialGlue_wrtpca,moran,0.47733941714517963
SpatialGlue_wrtpca,ari,0.22515922219543802
SpatialGlue_wrtpca,mi,0.7058498780730934
SpatialGlue_wrtpca,nmi,0.3657307894681967
SpatialGlue_wrtpca,ami,0.3617185127622192
SpatialGlue_wrtpca,hom,0.324836589185081
SpatialGlue_wrtpca,vme,0.36573078946819665
SpatialGlue_wrtpca,average,0.3915042968587042
SpatialGlue_wrtpca,moran,0.34031786610069037
SpatialGlue_wrtpca,ari,0.23736236817114073
SpatialGlue_wrtpca,mi,0.6787557054375715
SpatialGlue_wrtpca,nmi,0.35917657683211873
SpatialGlue_wrtpca,ami,0.35504711011594087
SpatialGlue_wrtpca,hom,0.32437457829130006
SpatialGlue_wrtpca,vme,0.3591765768321187
SpatialGlue_wrtpca,average,0.38564881928003175
SpatialGlue_wrtpca,moran,0.2626641160920378
